RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
95985,90004,255,"Los Angeles-Long Beach-Anaheim, CA",,1321,,1335,1342,1350,1357,1365,1373,1380,1391,1401,1411,1422,1433,1444,1451,1459,1467,1473,1480,1486,1494,1502,1509,1516,1523,1529,1537,1545,1553,1563,1573,1583,1593,1604,1615,1626,1637,1648,1658,1668,1678,1685,1691,1698,1702,1707,1712,1718,1723,1729,1736,1742,1748,1754,1760,1766,1772,1778,1783,1787,1790,1794,1795,1795,1796,1797,1798,1799,1798,1796,1795,1792,1790,1787,1783,1779,1775,1771,1767,1762,1765,1768,1770,1774,1777,1781,1785,1789,1793,1799
95988,90007,2334,"Los Angeles-Long Beach-Anaheim, CA",,,,1256,,,,,,,1353,1367,,,,,,,1546,1571,1595,1619,1642,1665,1687,,,1747,1761,1774,1788,1797,1806,1815,1829,,1857,1881,1905,1930,1958,1986,2015,2032,2049,,,2077,2083,2076,2069,2062,2051,2040,2028,2033,2039,,,2075,2090,2107,2125,2142,2165,2188,2211,2222,2234,2245,2241,2238,2234,2237,2239,2241,2253,2265,2278,2295,2312,2329,,,,2413,2434,2456,,,,2532
95994,90013,5770,"Los Angeles-Long Beach-Anaheim, CA",2409,2375,,2306,2275,,,,2154,2125,,,,,,,2173,,,2243,,,2305,2322,2339,2354,2369,,2397,2409,2422,2434,2446,,2467,2477,,,2500,2507,2514,2521,2527,2530,2532,2534,2537,2541,2544,2551,2558,2565,2576,2588,2599,2611,2622,2633,2638,2643,2648,2650,2652,2654,2655,2656,2657,2656,2655,2654,2649,2643,2637,2625,2613,2602,2586,2571,2556,2543,2531,2518,2514,2510,2506,2505,2503,2501,2500,2499,2498,2497
95996,90015,3559,"Los Angeles-Long Beach-Anaheim, CA",2374,2378,2382,2387,2391,2395,2400,2404,2408,2411,2418,2425,2431,2441,2451,2461,2473,2484,2495,2506,2518,2530,2537,2545,2553,2559,2565,2570,2577,2584,2591,2602,2612,2623,2636,2648,2661,2674,2686,2699,2710,2721,2732,2740,2749,2757,2764,2771,2779,2786,2793,2800,2806,2812,2818,2822,2826,2830,2832,2834,2836,2837,2837,2838,2838,2838,2838,2838,2837,2837,2830,2822,2815,2797,2779,2761,2738,2715,2692,2674,2655,2637,2641,2646,2651,2658,2666,2673,2684,2694,2704,2717
95997,90016,1269,"Los Angeles-Long Beach-Anaheim, CA",1460,1482,1503,1525,1545,1565,1585,1604,1623,,1656,,1684,,1713,1727,1746,1764,1782,1805,1829,1852,1878,1905,1931,,1981,2005,2026,2047,2068,2089,,2130,2149,2168,2186,2198,2210,2223,2230,2237,2244,2257,2270,2282,2298,2314,2330,2344,2357,2371,2381,2391,2401,2404,2408,2411,2412,2414,2415,2422,2429,2435,2449,2463,2477,2488,2499,2510,2515,2521,2526,2526,2526,2527,2521,2516,2510,2504,2499,2493,2493,2493,2493,2494,2494,2494,2494,2495,2496,2497
96000,90019,222,"Los Angeles-Long Beach-Anaheim, CA",1588,,,1635,1651,1666,1682,1697,1712,1728,1744,1761,1777,1790,1803,1816,1828,1840,1852,1862,1873,1884,1893,1902,1912,1921,1930,1939,1949,1959,1968,1978,1987,1997,2005,2013,2021,2031,2040,2050,2059,2067,2076,2083,2091,2099,2112,2124,2137,2149,2160,2171,2179,2186,2194,2201,2207,2214,2218,2222,2226,2231,2236,2240,2250,2260,2270,2279,2289,2298,2302,2306,2310,2308,2307,2306,2299,2292,2285,2276,2267,2257,2255,2253,2251,2249,2248,2246,2245,2245,2244,2244
96001,90020,1030,"Los Angeles-Long Beach-Anaheim, CA",1102,,,,1209,,,1286,1311,1336,,1377,1397,1409,1422,1435,,1452,1460,1472,1484,1496,1509,1523,1536,,1558,1570,1577,1585,1593,1596,1599,1603,1604,1606,1607,1611,1615,1619,1621,1623,1625,1625,1626,1626,1628,1631,,,1641,1645,1654,1662,1671,1681,1691,1702,1707,1712,1718,1721,1724,1727,1731,1735,1739,1744,1748,1753,1756,1758,1761,1760,1759,1757,1754,1750,1746,1742,1738,1734,1737,1740,1742,1746,1750,1754,1759,1763,1768,1773
96005,90024,867,"Los Angeles-Long Beach-Anaheim, CA",2454,2476,2499,2522,2544,2566,2588,2610,2632,2654,2670,2685,2700,2715,2729,2743,2763,2783,2803,2824,2845,2866,2884,2902,2920,2938,2957,2975,2990,3005,3019,3031,3044,3056,3072,3088,3105,3119,3134,3148,3161,3174,3187,3198,3209,3219,3229,3239,3248,3262,3276,3289,3306,3323,3339,3356,3374,3391,3404,3417,3430,3434,3439,3444,3448,3452,3456,3463,3470,3478,3481,3483,3486,3485,3484,3482,3474,3466,3459,3446,3433,3420,3423,3426,3429,3434,3440,3445,3452,3459,3466,3474
96006,90025,297,"Los Angeles-Long Beach-Anaheim, CA",2109,2120,2131,2141,2153,2164,2175,2187,2200,2212,2226,2240,2254,2270,2287,2303,2321,2339,2358,2373,2389,2405,2418,2431,2444,2456,2468,2480,2491,2502,2514,2525,2536,2546,2556,2566,2576,2586,2597,2607,2618,2629,2641,2649,2658,2666,2672,2678,2684,2691,2697,2704,2710,2717,2724,2732,2740,2747,2757,2767,2776,2785,2794,2802,2809,2815,2822,2826,2831,2835,2834,2833,2832,2824,2815,2807,2793,2779,2765,2751,2737,2723,2719,2714,2710,2706,2703,2700,2698,2696,2694,2693
96007,90026,137,"Los Angeles-Long Beach-Anaheim, CA",1788,1792,1797,1802,1807,1812,,,1828,1833,1842,1851,1860,1872,1884,1896,1911,1926,1940,1958,1975,1993,2009,2026,2043,2058,2074,2089,2101,2113,2125,2135,2145,2155,2167,2180,2192,2202,2211,2221,2230,2238,2247,2255,2264,2272,2278,2283,2289,2294,2300,2306,2312,2319,2326,2332,2337,2343,2349,2355,2361,2367,2373,2378,2385,2392,2398,2406,2413,2421,2423,2426,2428,2428,2428,2428,2426,2423,2421,2414,2407,2401,2401,2402,2403,2404,2406,2408,2411,2413,2415,2418
